|#|From note|Events|
|-|-|-|
|1|С утра в понедельник|Хорошее настроение|
|2|Поездка на работу| - |
|3|Совещание на работе| - |
|4|Закончил пораньше в 16:00| - |
|5|Играл в видеоигры| - |
|6|Играл в игру Dota|Ужасное настроение|
|7|С поездки на работу во вторник| - |
|8|Познакомился с новой коллегой|Улучшилось настроение|
|9|Работал до 18:00|Хорошее настроение|
|10|Свидание с Кристиной| - |
|11|Похмелье в среду|Ужасное настроение|
|12|Не пошел на работу в среду| - |
|13|Смотрел YouTube весь день| - |
|14|Немного улучшилось настроение к вечеру| - |
|15|Хорошее настроение в четверг| - |
|16|Нормальное настроение вечером в четверг| - |
|17|Поездка на работу в пятницу| - |
|18|Встреча с коллегами в баре| - |
|19|Сильное опьянение в пятницу| - |
|20|Проснулся с похмельем в субботу| - |
|21|Смотрел тик токи в субботу| - |
|22|Отличное настроение в воскресенье| - |
|23|Убрался по квартире и приготовил курицу в воскресенье| - |
